Date,Rate,Source,Daily_Return,Log_Return,SMA_Short,SMA_Long,Rolling_Volatility_Annualized,Signal,Position_Change,Strategy_Position,Strategy_Daily_Return,Trade_Executed,Strategy_Equity,BuyHold_Equity
2021-04-23,10535.24,CBU.uz (official),-0.001589270669758669,-0.0015905349000364956,10496.127499999999,10498.8796,0.013767434085644525,-1,False,-1.0,0.0,False,9960.09452588691,10013.078008036893
2021-04-24,10535.24,CBU.uz (official),0.0,0.0,10499.264,10500.0272,0.013767434085644525,-1,False,-1.0,0.0,False,9960.09452588691,10013.078008036893
2021-04-25,10535.24,CBU.uz (official),0.0,0.0,10502.3925,10501.1748,0.013771716290604002,1,True,-1.0,0.0,False,9960.09452588691,10013.078008036893
2021-04-26,10539.52,CBU.uz (official),0.0004062555765222964,0.0004061730770687211,10505.22,10502.408000000001,0.013541256407135795,1,False,1.0,-9.374442347770363e-05,True,9959.160822567797,10017.145876815812
2021-04-27,10548.18,CBU.uz (official),0.0008216692980325124,0.0008213319126150249,10509.226,10503.8144,0.01208781807917665,1,False,1.0,0.0008216692980325124,False,9967.343959249869,10025.376658036705
2021-04-28,10529.51,CBU.uz (official),-0.0017699735878606848,-0.0017715418418969002,10511.7395,10504.5916,0.013997222622434115,1,False,1.0,-0.0017699735878606848,False,9949.702023700875,10007.632006143625
2021-04-29,10515.04,CBU.uz (official),-0.0013742329889994132,-0.001375178113133182,10513.838,10504.943000000001,0.014864611514694903,1,False,1.0,-0.0013742329889994132,False,9936.02881494919,9993.879188099016
2021-04-30,10509.11,CBU.uz (official),-0.0005639541076400967,-0.0005641131895706092,10515.64,10505.0468,0.015098412145746299,1,False,1.0,-0.0005639541076400967,False,9930.425350685367,9988.24309887963
2021-05-01,10509.11,CBU.uz (official),0.0,0.0,10517.442,10504.9578,0.015098412145746299,1,False,1.0,0.0,False,9930.425350685367,9988.24309887963
2021-05-02,10509.11,CBU.uz (official),0.0,0.0,10519.0015,10504.868800000002,0.015069536530314141,1,False,1.0,0.0,False,9930.425350685367,9988.24309887963
2021-05-03,10523.0,CBU.uz (official),0.0013217104017371195,0.0013208377114220316,10521.381,10505.0576,0.015547024547444192,1,False,1.0,0.0013217104017371195,False,9943.550497165043,10001.444663678498
2021-05-04,10522.5,CBU.uz (official),-4.751496721466797e-05,-4.751609608648169e-05,10522.887999999999,10505.1294,0.014670022012913142,1,False,1.0,-4.751496721466797e-05,False,9943.078029689172,10000.969445363204
2021-05-05,10513.94,CBU.uz (official),-0.0008134948918983032,-0.0008138259584273393,10523.735499999999,10504.836400000002,0.015004919032792366,1,False,1.0,-0.0008134948918983032,False,9934.989386502273,9992.83370780537
2021-05-06,10501.22,CBU.uz (official),-0.0012098223881819026,-0.0012105548140838073,10523.4235,10504.140800000001,0.015260504348466786,1,False,1.0,-0.0012098223881819026,False,9922.969813916132,9980.744153864289
2021-05-07,10493.48,CBU.uz (official),-0.0007370572181136792,-0.0007373289783284897,10522.7245,10503.5378,0.015464664930943745,1,False,1.0,-0.0007370572181136792,False,9915.656017389661,9973.387774343537
2021-05-08,10493.48,CBU.uz (official),0.0,0.0,10522.0255,10503.128,0.015464664930943745,1,False,1.0,0.0,False,9915.656017389661,9973.387774343537
2021-05-09,10493.48,CBU.uz (official),0.0,0.0,10521.0905,10502.718200000001,0.015347896538955014,1,False,1.0,0.0,False,9915.656017389661,9973.387774343537
2021-05-10,10511.84,CBU.uz (official),0.0017496578827995712,0.0017481290145173352,10520.4005,10502.6756,0.015980374356958614,1,False,1.0,0.0017496578827995712,False,9933.005023103617,9990.837790881133
2021-05-11,10529.73,CBU.uz (official),0.0017018904397325674,0.0017004438652397792,10519.999,10502.990800000001,0.016641888545588006,1,False,1.0,0.0017018904397325674,False,9949.909909390251,10007.841102202352
2021-05-12,10542.66,CBU.uz (official),0.0012279517138615859,0.0012271983977832468,10519.531500000001,10503.7256,0.016509496223542218,1,False,1.0,0.0012279517138615859,False,9962.127918316255,10020.130247835858
2021-05-13,10542.66,CBU.uz (official),0.0,0.0,10519.9025,10504.6548,0.015467240459249873,1,False,1.0,0.0,False,9962.127918316255,10020.130247835858
2021-05-14,10542.66,CBU.uz (official),0.0,0.0,10520.2735,10505.3544,0.015467240459249873,1,False,1.0,0.0,False,9962.127918316255,10020.130247835858
2021-05-15,10542.66,CBU.uz (official),0.0,0.0,10520.644499999999,10506.400800000001,0.015467240459249873,1,False,1.0,0.0,False,9962.127918316255,10020.130247835858
2021-05-16,10542.66,CBU.uz (official),0.0,0.0,10520.8015,10507.053999999998,0.015405236286466076,1,False,1.0,0.0,False,9962.127918316255,10020.130247835858
2021-05-17,10550.84,CBU.uz (official),0.0007758952674183917,0.0007755944162946414,10520.9345,10507.8708,0.015374285313063873,1,False,1.0,0.0007758952674183917,False,9969.857486221494,10027.90481947407
